Detailed group,Description
10830,Processing of tea and coffee
10840,Manufacture of condiments and seasonings
10850,Manufacture of prepared meals and dishes
10860,Manufacture of homogenised food preparations and dietetic food
10890,Manufacture of other food products n.e.c.
10910,Manufacture of prepared feeds for farm animals
10920,Manufacture of prepared pet foods
11010,"Distilling, rectifying and blending of spirits"
11020,Manufacture of wine from grape
11030,Manufacture of cider and other fruit wines
11040,Manufacture of other non-distilled fermented beverages
11050,Manufacture of beer
11060,Manufacture of malt
11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
12000,Manufacture of tobacco products
13100,Preparation and spinning of textile fibres
13200,Weaving of textiles
13300,Finishing of textiles
13910,Manufacture of knitted and crocheted fabrics
13921,"Manufacture of curtains, bed linen and other linen goods"
13922,"Manufacture of tarpaulins, tents, sails etc."
13930,Manufacture of carpets and rugs
13940,"Manufacture of cordage, rope, twine and netting"
13950,"Manufacture of non-wovens and articles made from non-wovens, except apparel"
13960,Manufacture of other technical and industrial textiles
13990,Manufacture of other textiles n.e.c.
14110,Manufacture of leather clothes
14120,Manufacture of workwear
14130,Manufacture of other outerwear
14140,Manufacture of underwear
14190,Manufacture of other wearing apparel and accessories
14200,Manufacture of articles of fur
14310,Manufacture of knitted and crocheted hosiery
14390,Manufacture of other knitted and crocheted apparel
15110,Tanning and dressing of leather; dressing and dyeing of fur
15120,"Manufacture of luggage, handbags and the like, saddlery and harness"
15200,Manufacture of footwear
16101,Sawmilling
16102,Planing of wood
16103,Impregnation of wood
16210,Manufacture of veneer sheets and wood-based panels
16220,Manufacture of assembled parquet floors
16231,Manufacture of prefabricated wooden buildings
16232,Manufacture of wooden doors
16233,Manufacture of wooden windows
16239,Manufacture of other builders' carpentry and joinery n.e.c.
16240,Manufacture of wooden containers
16291,Manufacture of wood fuels
16292,Manufacture of other products of wood
16293,"Manufacture of articles of cork, straw and plaiting materials"
17111,Manufacture of mechanical or semi-chemical pulp
17112,Manufacture of sulphate pulp
17113,Manufacture of sulphite pulp
17121,Manufacture of newsprint
17122,Manufacture of other printing paper
17123,Manufacture of kraft paper and paperboard
17129,Manufacture of other paper and paperboard
17211,Manufacture of corrugated paper and paperboard and corrugated board containers
17219,Manufacture of other containers of paper and paperboard
17220,Manufacture of household and sanitary goods and of toilet requisites
17230,Manufacture of paper stationery
17240,Manufacture of wallpaper
17290,Manufacture of other articles of paper and paperboard
18110,Printing of newspapers
18121,Printing of periodicals
18122,Book printing and other printing
18130,Pre-press and pre-media services
18140,Binding and related services
18200,Reproduction of recorded media
19100,Manufacture of coke oven products
19200,Manufacture of refined petroleum products
20110,Manufacture of industrial gases
20120,Manufacture of dyes and pigments
20130,Manufacture of other inorganic basic chemicals
20140,Manufacture of other organic basic chemicals
20150,Manufacture of fertilisers and nitrogen compounds
20160,Manufacture of plastics in primary forms
20170,Manufacture of synthetic rubber in primary forms
20200,Manufacture of pesticides and other agrochemical products
20300,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
20410,"Manufacture of soap and detergents, cleaning and polishing preparations"
20420,Manufacture of perfumes and toilet preparations
20510,Manufacture of explosives
20520,Manufacture of glues
20530,Manufacture of essential oils
20590,Manufacture of other chemical products n.e.c.
20600,Manufacture of man-made fibres
21100,Manufacture of basic pharmaceutical products
21200,Manufacture of pharmaceutical preparations
22110,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
22190,Manufacture of other rubber products
22210,"Manufacture of plastic plates, sheets, tubes and profiles"
22220,Manufacture of plastic packing goods
22230,Manufacture of builders’ ware of plastic
22290,Manufacture of other plastic products
23110,Manufacture of flat glass
23120,Shaping and processing of flat glass
23130,Manufacture of hollow glass
23140,Manufacture of glass fibres
23190,"Manufacture and processing of other glass, including technical glassware"
23200,Manufacture of refractory products
23310,Manufacture of ceramic tiles and flags
23320,"Manufacture of bricks, tiles and construction products, in baked clay"
23410,Manufacture of ceramic household and ornamental articles
23420,Manufacture of ceramic sanitary fixtures
23430,Manufacture of ceramic insulators and insulating fittings
23440,Manufacture of other technical ceramic products
23490,Manufacture of other ceramic products
23510,Manufacture of cement
23520,Manufacture of lime and plaster
23610,Manufacture of concrete products for construction purposes
23620,Manufacture of plaster products for construction purposes
23630,Manufacture of ready-mixed concrete
23640,Manufacture of mortars
23650,Manufacture of fibre cement
23690,"Manufacture of other articles of concrete, plaster and cement"
23701,"Cutting, shaping and finishing of building stone"
23709,"Cutting, shaping and finishing of ornamental stone"
23910,Production of abrasive products
23991,Manufacture of stone and mineral wool products
23999,Manufacture of various other non-metallic mineral products n.e.c.
24100,Manufacture of basic iron and steel and of ferro-alloys
24200,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
24310,Cold drawing of bars
24320,Cold rolling of narrow strip
24330,Cold forming or folding
24340,Cold drawing of wire
24410,Precious metals production
24420,Aluminium production
24430,"Lead, zinc and tin production"
24440,Copper production
24450,Other non-ferrous metal production
24460,Processing of nuclear fuel
24510,Casting of iron
24520,Casting of steel
24530,Casting of light metals
24540,Casting of other non-ferrous metals
25110,Manufacture of metal structures and parts of structures
25120,Manufacture of doors and windows of metal
25210,Manufacture of central heating radiators and boilers
25290,"Manufacture of other tanks, reservoirs and containers of metal"
25300,"Manufacture of steam generators, except central heating hot water boilers"
25400,Manufacture of weapons and ammunition
25500,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
25610,Treatment and coating of metals
25620,Machining
25710,Manufacture of cutlery
25720,Manufacture of locks and hinges
25730,Manufacture of tools
25910,Manufacture of steel drums and similar containers
25920,Manufacture of light metal packaging
25930,"Manufacture of wire products, chain and springs"
25940,Manufacture of fasteners and screw machine products
25991,"Manufacture of sinks, sanitary ware etc. of metal for construction purposes"
25999,Manufacture of various other fabricated metal products n.e.c.
26110,Manufacture of electronic components
26120,Manufacture of loaded electronic boards
26200,Manufacture of computers and peripheral equipment
26300,Manufacture of communication equipment
26400,Manufacture of consumer electronics
26510,"Manufacture of instruments and appliances for measuring, testing and navigation"
26520,Manufacture of watches and clocks
26600,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
26700,Manufacture of optical instruments and photographic equipment
26800,Manufacture of magnetic and optical media
27110,"Manufacture of electric motors, generators and transformers"
27120,Manufacture of electricity distribution and control apparatus
27200,Manufacture of batteries and accumulators
27310,Manufacture of fibre optic cables
27320,Manufacture of other electronic and electric wires and cables
27330,Manufacture of wiring devices
27400,Manufacture of electric lighting equipment
27510,Manufacture of electric domestic appliances
27520,Manufacture of non-electric domestic appliances
27900,Manufacture of other electrical equipment
28110,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
28120,Manufacture of fluid power equipment
28130,Manufacture of other pumps and compressors
28140,Manufacture of other taps and valves
28150,"Manufacture of bearings, gears, gearing and driving elements"
28210,"Manufacture of ovens, furnaces and furnace burners"
28220,Manufacture of lifting and handling equipment
28230,Manufacture of office machinery and equipment (except computers and peripheral equipment)
28240,Manufacture of power-driven hand tools
28250,Manufacture of non-domestic cooling and ventilation equipment
28290,Manufacture of other general-purpose machinery n.e.c.
28300,Manufacture of agricultural and forestry machinery
28410,Manufacture of metal forming machinery
28490,Manufacture of other machine tools
28910,Manufacture of machinery for metallurgy
28920,"Manufacture of machinery for mining, quarrying and construction"
28930,"Manufacture of machinery for food, beverage and tobacco processing"
28940,"Manufacture of machinery for textile, apparel and leather production"
28950,Manufacture of machinery for paper and paperboard production
28960,Manufacture of plastics and rubber machinery
28990,Manufacture of other special-purpose machinery n.e.c.
29101,Manufacture of passenger cars and other light motor vehicles
29102,Manufacture of trucks and other heavy motor vehicles
29200,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
29310,Manufacture of electrical and electronic equipment for motor vehicles
29320,Manufacture of other parts and accessories for motor vehicles
30110,Building of ships and floating structures
30120,Building of pleasure and sporting boats
30200,Manufacture of railway locomotives and rolling stock
30300,Manufacture of air and spacecraft and related machinery
30400,Manufacture of military fighting vehicles
30910,Manufacture of motorcycles
30920,Manufacture of bicycles and invalid carriages
30990,Manufacture of other transport equipment n.e.c.
31011,Manufacture of office and shop furniture
31012,Manufacture of office and shop fittings
31021,Manufacture of kitchen furniture
31022,Manufacture of kitchen fittings
31030,Manufacture of mattresses
31090,Manufacture of other furniture
32110,Striking of coins
32120,Manufacture of jewellery and related articles
32130,Manufacture of imitation jewellery and related articles
32200,Manufacture of musical instruments
32300,Manufacture of sports goods
32400,Manufacture of games and toys
32501,Manufacture of medical and dental instruments and supplies
32502,"Manufacture of artificial teeth, dentures, dental plates etc."
32910,Manufacture of brooms and brushes
32990,Other manufacturing n.e.c.
33110,Repair of fabricated metal products
33120,Repair of machinery
33130,Repair of electronic and optical equipment
33140,Repair of electrical equipment
33150,Repair and maintenance of ships and boats
33160,Repair and maintenance of aircraft and spacecraft
33170,Repair and maintenance of other transport equipment
33190,Repair of other equipment
33200,Installation of industrial machinery and equipment
35110,Production of electricity
35120,Transmission of electricity
35130,Distribution of electricity
35140,Trade of electricity
35210,Manufacture of gas
35220,Distribution of gaseous fuels through mains
35230,Trade of gas through mains
35300,Steam and air conditioning supply
36001,"Collection, treatment and supply of groundwater"
36002,"Collection, treatment and supply of surface water"
37000,Sewerage
38110,Collection of non-hazardous waste
38120,Collection of hazardous waste
38210,Treatment and disposal of non-hazardous waste
38220,Treatment and disposal of hazardous waste
38311,Dismantling of car wrecks
38312,Dismantling of electric and electronic equipment
38319,Dismantling of other wrecks
38320,Recovery of sorted materials
39000,Remediation activities and other waste management services
41100,Development of building projects
41200,Construction of residential and non-residential buildings
42110,Construction of roads and motorways
42120,Construction of railways and underground railways
42130,Construction of bridges and tunnels
42210,Construction of utility projects for fluids
42220,Construction of utility projects for electricity and telecommunications
42910,Construction of water projects
42990,Construction of other civil engineering projects n.e.c.
43110,Demolition
43120,Site preparation
43130,Test drilling and boring
43210,Electrical installation
43221,Installation of heating and sanitary equipment
43222,Installation of ventilation equipment
43223,Installation of refrigeration and freezing equipment
43229,Other plumbing
43290,Other construction installation
43310,Plastering
43320,Joinery installation
43330,Floor and wall covering
43341,Painting
43342,Glazing
43390,Other building completion and finishing
43911,Erection of sheet-metal roof covering
43912,Erection of other roof covering and frames
43991,Renting of construction or demolition equipment with operator
43999,Various other specialised construction activities n.e.c.
45110,Sale of cars and light motor vehicles
45191,"Sale of lorries, buses and specialised motor vehicles"
45192,"Sale of caravans, motor homes, trailers and semi-trailers"
45201,Non-specialised maintenance and repair of motor vehicles
45202,Bodywork repair and painting of motor vehicles
45203,Installation and repair and painting of electrical and electronic motor vehicle equipment
45204,Tyre service
45310,Wholesale trade of motor vehicle parts and accessories
45320,Retail trade of motor vehicle parts and accessories
45400,"Sale, maintenance and repair of motorcycles and related parts and accessories"
46110,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
46120,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
46130,Agents involved in the sale of timber and building materials
46141,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft except office machinery and computer equipment"
46142,Agents involved in the sale of office machinery and computer equipment
46150,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
46160,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"
46170,"Agents involved in the sale of food, beverages and tobacco"
46180,Agents specialised in the sale of other particular products
46190,Agents involved in the sale of a variety of goods
46210,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
46220,Wholesale of flowers and plants
46230,Wholesale of live animals
46240,"Wholesale of hides, skins and leather"
46310,Wholesale of fruit and vegetables
46320,Wholesale of meat and meat products
46330,"Wholesale of dairy products, eggs and edible oils and fats"
46340,Wholesale of beverages
46350,Wholesale of tobacco products
46360,Wholesale of sugar and chocolate and sugar confectionery
46370,"Wholesale of coffee, tea, cocoa and spices"
46380,"Wholesale of other food, including fish, crustaceans and molluscs"
46390,"Non-specialised wholesale of food, beverages and tobacco"
46410,Wholesale of textiles
46420,Wholesale of clothing and footwear
46431,Wholesale of electrical household appliances
46432,"Wholesale of radio, television and video equipment"
46433,"Wholesale of recorded audio and video tapes, cds and dvds"
46434,Wholesale of electrical equipment
46435,Wholesale of photographic and optical goods
46440,Wholesale of china and glassware and cleaning materials
46450,Wholesale of perfume and cosmetics
46460,Wholesale of pharmaceutical goods
46470,"Wholesale of furniture, carpets and lighting equipment"
46480,Wholesale of watches and jewellery
46491,Wholesale of sporting equipment
46492,Wholesale of stationary and other office goods
46499,Wholesale of other household goods n.e.c.
46510,"Wholesale of computers, computer peripheral equipment and software"
46521,Wholesale of electronic components
46522,Wholesale of telecommunications equipment and parts
46610,"Wholesale of agricultural machinery, equipment and supplies"
46620,Wholesale of machine tools
46630,"Wholesale of mining, construction and civil engineering machinery"
46640,Wholesale of machinery for the textile industry and of sewing and knitting machines
46650,Wholesale of office furniture
46660,Wholesale of other office machinery and equipment
46691,Wholesale of measuring and precision instruments
46692,Wholesale of computerized materials handling equipment
46699,Wholesale of other machinery and equipment n.e.c.
46710,"Wholesale of solid, liquid and gaseous fuels and related products"
46720,Wholesale of metals and metal ores
46731,Wholesale of wood and other construction materials
46732,Wholesale of sanitary equipment
46741,Wholesale of hardware
46742,Wholesale of plumbing and heating equipment
46750,Wholesale of chemical products
46761,Wholesale of industry supplies
46762,Wholesale of packaging materials
46769,Wholesale of other intermediate products n.e.c.
46771,Wholesale in car wrecks
46772,Wholesale of metal waste and scrap
46773,Wholesale of non-metal waste and scrap
46900,Non-specialised wholesale trade
47111,"Retail sale in department stores and the like with food, beverages or tobacco predominating"
47112,"Retail sale in other non-specialised stores with food, beverages or tobacco predominating"
47191,Other retail sale in department stores and the like
47199,Other retail sale in non-specialised stores n.e.c.
47210,Retail sale of fruit and vegetables in specialised stores
47220,Retail sale of meat and meat products in specialised stores
47230,"Retail sale of fish, crustaceans and molluscs in specialised stores"
47241,"Retail sale of bread, cakes and flour confectionery in specialised stores"
47242,Retail sale of sugar confectionery in specialised stores
47250,Retail sale of beverages in specialised stores
47260,Retail sale of tobacco products in specialised stores
47291,Retail sale of health foods in specialised stores
47299,Other retail sale of food in specialised stores n.e.c.
47300,Retail sale of automotive fuel in specialised stores
47410,"Retail sale of computers, peripheral units and software in specialised stores"
47420,Retail sale of telecommunications equipment in specialised stores
47430,Retail sale of audio and video equipment in specialised stores
47510,Retail sale of textiles in specialised stores
47521,Retail sale of wood and other building materials in specialised stores
47522,Retail sale of plumbing and heating equipment in specialised stores
47523,Retail sale of paints in specialised stores
47531,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
47532,Retail sale of home furnishing textiles in specialised stores
47540,Retail sale of electrical household appliances in specialised stores
47591,Retail sale of home furniture in specialised stores
47592,Retail sale of office furniture in specialised stores
47593,"Retail sale of glassware, china and kitchenware in specialised stores"
47594,Retail sale of electrical fittings in specialised stores
47595,Retail sale of musical instruments and music scores in specialised stores
47610,Retail sale of books in specialised stores
47621,Retail sale of newspapers in specialised stores
47622,Retail sale of stationery in specialised stores
47630,Retail sale of music and video recordings in specialised stores
47641,Retail sale of sporting equipment except bicycles in specialised stores
47642,Retail sale of bicycles in specialised stores
47643,Retail sale of boats and boating accessories in specialised stores
47650,Retail sale of games and toys in specialised stores
47711,"Retail sale of men's, women's and children's clothing in specialised stores"
47712,Retail sale of men's clothing in specialised stores
47713,Retail sale of women's clothing in specialised stores
47714,Retail sale of children's clothing in specialised stores
47715,Retail sale of furs in specialised stores
47721,Retail sale of footwear in specialised stores
47722,Retail sale of leather goods in specialised stores
47730,Dispensing chemist
47740,Retail sale of medical and orthopaedic goods in specialised stores
47750,Retail sale of cosmetic and toilet articles in specialised stores
47761,"Retail sale of flowers, plants, seedsand fertilisers in specialised stores"
47762,Retail sale of  pet animals and pet food in specialised stores
47771,Retail sale of watches and clocks in specialised stores
47772,Retail sale of jewellery in specialised stores
47781,Retail sale of spectacles and other optical goods except photographic equipment in specialised stores
47782,Retail sale of photographic equipment in specialised stores
47783,Retail sale of art in specialised stores; art gallery activities
47784,Retail sale of coins and stamps in specialised stores
47789,Other retail sale in specialised stores n.e.c.
47791,Retail sale of antiques and second-hand books in stores
47792,Retail sale of other second-hand goods in stores
47793,Activities of auctioning houses
47810,"Retail sale via stalls and markets of food, beverages and tobacco products"
47820,"Retail sale via stalls and markets of textiles, clothing and footwear"
47890,Retail sale via stalls and markets of other goods
47911,Non-specialised retail sale via mail order houses or via internet
47912,Retail sale of clothing via mail order houses or via internet
47913,Retail sale of books and other media goods via mail order houses or via internet
47914,Retail sale of computers and other electronic equipment via mail order houses or via internet
47915,Retail sale of sports and leisure goods via mail order houses or via internet
47916,Retail sale of household goods via mail order houses or via internet
47917,Internet retail auctions
47919,Other retail sale via mail order houses or via internet
47991,Retail sale on commission
47992,Ambulatory and occasional retail sale of food
47993,Ambulatory and occasional retail sale of other goods
47994,Auctions not in stores or internet
47999,"Retail sale not in stores, stalls or markets n.e.c."
49100,"Passenger rail transport, interurban"
49200,Freight rail transport
49311,Urban and suburban road passenger transport
49319,Other urban and suburban passenger land transport
49320,Taxi operation
49390,Other passenger land transport n.e.c.
49410,Freight transport by road
49420,Removal services
49500,Transport via pipeline
50101,Scheduled sea and coastal passenger water transport
50102,Non-scheduled sea and coastal passenger water transport
50201,Scheduled sea and coastal freight water transport
50202,Non-scheduled sea and coastal freight water transport
50301,Scheduled inland passenger water transport
50302,Non-scheduled inland passenger water transport
50401,Scheduled inland freight water transport
50402,Non-scheduled inland freight water transport
51101,Scheduled passenger air transport
51102,Non-scheduled passenger air transport
51211,Scheduled freight air transport
51212,Non-scheduled freight air transport
51220,Space transport
52100,Warehousing and storage
52211,Towing incidental to land transportation
52219,Other service activities incidental to land transportation
52220,Service activities incidental to water transportation
52230,Service activities incidental to air transportation
52241,Harbour cargo handling
52249,Other cargo handling
52290,Other transportation support activities
53100,Postal activities under universal service obligation
53201,Other postal activities
53202,Courier activities
53203,Newspaper distribution
55101,Hotels with restaurant except conference centres
55102,Lodging activities of conference centres
55103,Hotels without restaurant
55201,Youth hostels
55202,Other short-stay accommodation
55300,"Camping grounds, recreational vehicle parks and trailer parks"
55900,Other accommodation
56100,Restaurants and mobile food service activities
56210,Event catering activities
56291,Canteens
56292,Catering for hospitals
56293,"Catering for schools, welfare and other institutions"
56294,Catering for the transport sector
56299,Other catering
56300,Beverage serving activities
58110,Book publishing
58120,Publishing of directories and mailing lists
58131,Publishing of daily newspapers
58132,Publishing of advertising newspapers
58140,Publishing of journals and periodicals
58190,Other publishing activities
58210,Publishing of computer games
58290,Other software publishing
59110,"Motion picture, video and television programme production activities"
59120,"Motion picture, video and television programme post-production activities"
59130,"Motion picture, video and television programme distribution activities"
59140,Motion picture projection activities
59200,Sound recording and music publishing activities
60100,Radio broadcasting
60200,Television programming and broadcasting activities
61100,Wired telecommunications activities
61200,Wireless telecommunications activities
61300,Satellite telecommunications activities
61900,Other telecommunications activities
62010,Computer programming activities
62020,Computer consultancy activities
62030,Computer facilities management activities
62090,Other information technology and computer service activities
63110,"Data processing, hosting and related activities"
63120,Web portals
63910,News agency activities
63990,Other information service activities n.e.c.
64110,Central banking
64190,Other monetary intermediation
64201,Activities of financial holding companies
64202,Activities of non-financial holding companies
64301,Investment funds
64309,"Other trusts, funds and similar financial entities"
64910,Financial leasing
64920,Other credit granting
64991,Activities of investment companies and venture capital companies
64992,Trading in securities on own account
64993,Trading in securities for a limited and closed group of owners
64999,"Various other financial service activities, except insurance and pension funding n.e.c."
65111,Unit link insurance
65119,Other life insurance
65120,Non-life insurance
65200,Reinsurance
65300,Pension funding
66110,Administration of financial markets
66120,Security and commodity contracts brokerage
66190,"Other activities auxiliary to financial services, except insurance and pension funding"
66210,Risk and damage evaluation
66220,Activities of insurance agents and brokers
66290,Other activities auxiliary to insurance and pension funding
66301,Investment fund management activities
66309,Other fund management activities
68100,Buying and selling of own real estate
68201,Renting and operating of own or leased dwelllings
68202,Renting and operating of own or leased industrial premises
68203,Renting and operating of own or leased other premises
68204,Property management of tenant-owners' associations
68209,Other renting and operating of own or leased real estate
68310,Real estate agencies
68320,Management of real estate on a fee or contract basis
69101,Legal advisory and representation activities of solicitor's firms
69102,Other legal advisory activities
69103,Advisory activities concerning patents and copyrights
69201,Accounting and bookkeeping activities
69202,Auditing activities
69203,Tax consultancy
70100,Activities of head offices
70210,Public relations and communication activities
70220,Business and other management consultancy activities
71110,Architectural activities
71121,Construction and civil engineering activities and related technical consultancy
71122,Industrial engineering activities and related technical consultancy
71123,Electric engineering activities and related technical consultancy
71124,"Engineering activities and related technical consultancy in energy, environment, plumbing, heat and air-conditioning"
71129,Other engineering activities and related technical consultancy
71200,Technical testing and analysis
72110,Research and experimental development on biotechnology
72190,Other research and experimental development on natural sciences and engineering
72200,Research and experimental development on social sciences and humanities
73111,Advertising agency activities
73112,Delivery of advertising material
73119,Other advertising activities
73120,Media representation
73200,Market research and public opinion polling
74101,Industrial and fashion design
74102,Graphic design
74103,Activities of interior decorators
74201,Portrait photography
74202,Advertising photography
74203,Press and other photography
74204,Photographic laboratory activities
74300,Translation and interpretation activities
74900,"Other professional, scientific and technical activities n.e.c."
75000,Veterinary activities
77110,Renting and leasing of cars and light motor vehicles
77120,Renting and leasing of trucks
77210,Renting and leasing of recreational and sports goods
77220,Renting of video tapes and disks
77290,Renting and leasing of other personal and household goods
77310,Renting and leasing of agricultural machinery and equipment
77320,Renting and leasing of construction and civil engineering machinery and equipment
77330,Renting and leasing of office machinery and equipment (including computers)
77340,Renting and leasing of water transport equipment
77350,Renting and leasing of air transport equipment
77390,"Renting and leasing of other machinery, equipment and tangible goods n.e.c."
77400,"Leasing of intellectual property and similar products, except copyrighted works"
78100,Activities of employment placement agencies
78200,Temporary employment agency activities
78300,Other human resources provision
79110,Travel agency activities
79120,Tour operator activities
79900,Other reservation service and related activities
80100,Private security activities
80200,Security systems service activities
80300,Investigation activities
81100,Combined facilities support activities
81210,General cleaning of buildings
81221,Other building cleaning activities
81222,Chimney cleaning
81290,Other cleaning activities
81300,Landscape service activities
82110,Combined office administrative service activities
82190,"Photocopying, document preparation and other specialised office support activities"
82200,Activities of call centres
82300,Organisation of conventions and trade shows
82910,Activities of collection agencies and credit bureaus
82920,Packaging activities
82990,Other business support service activities n.e.c.
84111,Executive and legislative administration of central and local government
84112,"Inspection, control, permit and licensing activities of central and local government"
84113,Fiscal activities
84114,Public dissemination of information
84115,Supporting service activities for the government as a whole
84121,Administration of primary and secondary education
84122,Administration of higher education and research
84123,Administration of health care
84124,Administration of social welfare
84125,"Administration of culture, environment, housing etc. programmes"
84131,Administration of infrastructure programmes
84132,"Administration of programmes relating to agriculture, forestry and fishing"
84133,Administration of labour market programmes
84139,"Administration of other business, industry and trade programmes"
84210,Foreign affairs
84221,Military defence activities
84222,Defence support activities
84223,Civil defence activities
84231,Public prosecutor activities
84232,Law court activities
84233,Detention and rehabilitation of criminals
84240,Public order and safety activities
84250,Fire service activities
84300,Compulsory social security activities
85100,Pre-primary education
85201,Compulsory comprehensive school education and pre-school class
85202,Special school primary education
85311,General secondary education
85312,Municipal adult education
85321,Technical and vocational secondary education
85322,Special school secondary education
85323,Other secondary education
85324,School activities for occupational drivers
85410,Post-secondary non-tertiary education
85420,Tertiary education
85510,Sports and recreation education
85521,Activities of municipal culture schools
85522,Other cultural education
85530,Driving school activities
85591,Labour market training
85592,Folk high school education
85593,Activities of adult education associations
85594,Staff training
85599,Various other education n.e.c.
85600,Educational support activities
86101,Hospital primary health activities
86102,Specialised hospital somatic activities
86103,Specialised hospital psychiatric activities
86211,General primary medical practice activities
86212,Other general medical practice activities
86221,"Specialist medical practice activities, at hospitals"
86222,"Specialist medical practice activities, not at hospitals"
86230,Dental practice activities
86901,Activities of medical laboratories etc.
86902,Ambulance transports and ambulance health care activities
86903,"Primary health activities, not physicians"
86904,Activities of dental hygienists
86905,Activities of physiotherapists etc.
86909,Other human health activities n.e.c.
87100,Residential nursing care activities
87201,Care in special forms of accommodation for persons with mental retardation and mental disability
87202,Care in special forms of accommodation for children and young people with substance abuse problems
87203,Care in special forms of accommodation for adults with substance abuse problems
87301,Care in special forms of accommodation for the elderly
87302,Care in special forms of accommodation for disabled persons
87901,Twenty-four hours care with accommodation for children and young people with social problems
87902,Care with accommodation for adults n.e.c.
88101,Social work activities without accommodation for the elderly
88102,Social work activities without accommodation for disabled persons
88910,Child day-care activities
88991,Social work activities for children and young people with social problems
88992,Day-care activities for adults with substance abuse problems
88993,Social work activities without accommodation for adults n.e.c.
88994,Humanitarian relief activities
88995,Operation of refugee camps
90010,Performing arts
90020,Support activities to performing arts
90030,Artistic creation
90040,Operation of arts facilities
91011,Library activities
91012,Archives activities
91020,Museums activities
91030,Operation of historical sites and buildings and similar visitor attractions
91040,Botanical and zoological gardens and nature reserves activities
92000,Gambling and betting activities
93111,Operation of ski facilities
93112,Operation of golf courses
93113,Operation of motor racing tracks
